problem;best-function;squared-error;fitness;population-size;max-generation;tree-height;select-function;cross-probability;mutate-probability;cross-function;max-error;min-error
quintic;SUB(a,RPOW(3.0)(a));0.577170829045924;0.9988456698853247;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;MUL(0.40912268612973257,a);1.6892298032003903;0.9966215741781953;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;SUB(a,MUL(a,RPOW(2.0)(a)));0.5771708290459239;0.9988456698853247;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;MUL(0.1704607703419665,a);1.0620230709609704;0.9978759750985394;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;SUB(a,MUL(RPOW(3.0)(a),SUB(-7.426729851337084,-8.805245422145468)));0.557986729688991;0.9988840377003566;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;MUL(RPOW(4.0)(-0.39420283466449035),a);1.673368246836821;0.9966532969736913;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;MUL(a,0.40183716229226185);1.6402802038232573;0.9967194723979576;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;SUB(a,RPOW(3.0)(a));0.577170829045924;0.9988456698853247;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;SUB(a,RPOW(3.0)(a));0.577170829045924;0.9988456698853247;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;SUB(a,RPOW(3.0)(a));0.577170829045924;0.9988456698853247;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;MUL(RPOW(4.0)(MUL(SUM(RPOW(4.0)(a),SUB(a,-1.356290828722564)),RPOW(4.0)(SUM(6.40449762345861,-7.012400253225525)))),a);1.8228849755525085;0.9963542665065945;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;SUM(a,SUM(SUM(a,a),SUB(MUL(a,-1.6639502999904021),a)));1.2832636392869181;0.9974334983866989;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;RPOW(4.0)(RPOW(4.0)(MUL(MUL(RPOW(4.0)(a),SUB(a,a)),RPOW(4.0)(RPOW(4.0)(a)))));1.847041898934436;0.9963059531429691;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;MUL(a,0.2965642951565606);1.1424747401200457;0.9977150733692547;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;MUL(RPOW(5.0)(0.6111466204339919),SUM(a,a));1.0619402608132404;0.9978761407171787;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;RPOW(5.0)(SUB(a,RPOW(5.0)(a)));1.5757163129040654;0.9968485988885182;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;SUB(a,RPOW(3.0)(a));0.577170829045924;0.9988456698853247;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;MUL(a,RPOW(4.0)(0.37386576450566267));1.704935890079411;0.996590162318559;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;MUL(a,MUL(0.08430103367276054,RPOW(4.0)(a)));1.789612257090666;0.9964208112780638;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
quintic;SUB(a,MUL(0.852662791632854,a));1.1082783752226677;0.9977834654151221;200;100;6;tournament(4);0.8;0.1;one-point-cross;500.0;0.0
